date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:56:28	130608/130608	---M--	200	added ('OK')	font/woff2	etag:W/%221fe30-0zcUywg26p6+AvTMwigGWTkDFno%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/fonts/bootstrap-icons.woff2?2820a3852bdb9a5832199cc61cec4e65	C:/My%20Web%20Sites/applewebsite/cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/fonts/bootstrap-iconsafdf.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/bootstrap-icons.css)
13:56:28	176200/176200	---M--	200	added ('OK')	font/woff	etag:W/%222b048-zOJU1Q0vdEzY84TNSqKiPIhQ4u4%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/fonts/bootstrap-icons.woff?2820a3852bdb9a5832199cc61cec4e65	C:/My%20Web%20Sites/applewebsite/cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/fonts/bootstrap-iconsafdf.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/bootstrap-icons.css)
13:56:28	387/387	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Nov%202025%2008:26:28%20GMT	https://iwued.com/globalnav/apple/image_large.html	C:/My%20Web%20Sites/applewebsite/iwued.com/globalnav/apple/image_large.html	(from https://iwued.com/Base.css)
13:56:29	1484/1484	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2226cbb4bfb27dd56b0ed09a961f28145b%22	https://iwued.com/globalnav/apple/image_small.svg	C:/My%20Web%20Sites/applewebsite/iwued.com/globalnav/apple/image_small.svg	(from https://iwued.com/Base.css)
13:56:29	371/371	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Nov%202025%2008:26:29%20GMT	https://iwued.com/globalnav/links/mac/image_large.html	C:/My%20Web%20Sites/applewebsite/iwued.com/globalnav/links/mac/image_large.html	(from https://iwued.com/Base.css)
13:56:30	371/371	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Nov%202025%2008:26:29%20GMT	https://iwued.com/globalnav/links/mac/image_small.html	C:/My%20Web%20Sites/applewebsite/iwued.com/globalnav/links/mac/image_small.html	(from https://iwued.com/Base.css)
13:56:30	372/372	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Nov%202025%2008:26:30%20GMT	https://iwued.com/globalnav/links/ipad/image_large.html	C:/My%20Web%20Sites/applewebsite/iwued.com/globalnav/links/ipad/image_large.html	(from https://iwued.com/Base.css)
13:56:31	372/372	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Nov%202025%2008:26:30%20GMT	https://iwued.com/globalnav/links/ipad/image_small.html	C:/My%20Web%20Sites/applewebsite/iwued.com/globalnav/links/ipad/image_small.html	(from https://iwued.com/Base.css)
13:56:31	374/374	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Nov%202025%2008:26:31%20GMT	https://iwued.com/globalnav/links/iphone/image_large.html	C:/My%20Web%20Sites/applewebsite/iwued.com/globalnav/links/iphone/image_large.html	(from https://iwued.com/Base.css)
13:56:31	374/374	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Nov%202025%2008:26:31%20GMT	https://iwued.com/globalnav/links/iphone/image_small.html	C:/My%20Web%20Sites/applewebsite/iwued.com/globalnav/links/iphone/image_small.html	(from https://iwued.com/Base.css)
13:56:32	393/393	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Nov%202025%2008:26:31%20GMT	https://iwued.com/globalnav/links/watch/image_large.html	C:/My%20Web%20Sites/applewebsite/iwued.com/globalnav/links/watch/image_large.html	(from https://iwued.com/Base.css)
13:56:32	372/372	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Nov%202025%2008:26:32%20GMT	https://iwued.com/globalnav/links/watch/image_small.svg	C:/My%20Web%20Sites/applewebsite/iwued.com/globalnav/links/watch/image_small.svg	(from https://iwued.com/Base.css)
13:56:33	402/402	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Nov%202025%2008:26:33%20GMT	https://iwued.com/globalnav/links/tv/image_large.html	C:/My%20Web%20Sites/applewebsite/iwued.com/globalnav/links/tv/image_large.html	(from https://iwued.com/Base.css)
13:56:33	369/369	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Nov%202025%2008:26:33%20GMT	https://iwued.com/globalnav/links/tv/image_small.svg	C:/My%20Web%20Sites/applewebsite/iwued.com/globalnav/links/tv/image_small.svg	(from https://iwued.com/Base.css)
13:56:34	373/373	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Nov%202025%2008:26:33%20GMT	https://iwued.com/globalnav/links/music/image_large.html	C:/My%20Web%20Sites/applewebsite/iwued.com/globalnav/links/music/image_large.html	(from https://iwued.com/Base.css)
13:56:34	372/372	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Nov%202025%2008:26:34%20GMT	https://iwued.com/globalnav/links/music/image_small.svg	C:/My%20Web%20Sites/applewebsite/iwued.com/globalnav/links/music/image_small.svg	(from https://iwued.com/Base.css)
13:56:34	407/407	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Nov%202025%2008:26:34%20GMT	https://iwued.com/globalnav/links/support/image_large.html	C:/My%20Web%20Sites/applewebsite/iwued.com/globalnav/links/support/image_large.html	(from https://iwued.com/Base.css)
13:56:35	374/374	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Nov%202025%2008:26:34%20GMT	https://iwued.com/globalnav/links/support/image_small.svg	C:/My%20Web%20Sites/applewebsite/iwued.com/globalnav/links/support/image_small.svg	(from https://iwued.com/Base.css)
13:56:35	368/368	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Nov%202025%2008:26:35%20GMT	https://iwued.com/globalnav/search/image_large.html	C:/My%20Web%20Sites/applewebsite/iwued.com/globalnav/search/image_large.html	(from https://iwued.com/Base.css)
13:56:35	400/400	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Nov%202025%2008:26:35%20GMT	https://iwued.com/globalnav/search/image_small.html	C:/My%20Web%20Sites/applewebsite/iwued.com/globalnav/search/image_small.html	(from https://iwued.com/Base.css)
13:56:36	365/365	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Nov%202025%2008:26:35%20GMT	https://iwued.com/globalnav/bag/image_large.html	C:/My%20Web%20Sites/applewebsite/iwued.com/globalnav/bag/image_large.html	(from https://iwued.com/Base.css)
13:56:36	364/364	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Nov%202025%2008:26:35%20GMT	https://iwued.com/globalnav/bag/image_small.svg	C:/My%20Web%20Sites/applewebsite/iwued.com/globalnav/bag/image_small.svg	(from https://iwued.com/Base.css)
13:56:36	373/373	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Nov%202025%2008:26:36%20GMT	https://iwued.com/globalnav/search/icon_reset_small.html	C:/My%20Web%20Sites/applewebsite/iwued.com/globalnav/search/icon_reset_small.html	(from https://iwued.com/Base.css)
13:56:37	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/bootstrap-icons.css)
